OTU,sampleName,OTUsize,dilution,sample,readSpikeSum,inputDNA,added.lysis.buffer.ml.,WEIGHT.g.,period,lysis.batch,aliquot,lysisBufferFrac,FSL,sample2,fittedOTUsize,fittedFSL
OTU894,HB.053.M1.S1.B,11,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,18.3417941887403,Sample 6,-0.39221411860133,-0.339061865232508
OTU9,HB.053.M1.S1.B,493,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,822.045866822633,Sample 6,-0.354871585150777,-0.36590232337662
OTU910,HB.053.M1.S1.B,14,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,23.3441016947604,Sample 6,-0.314052584446534,-0.299340551844205
OTU93,HB.053.M1.S1.B,35,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,58.3602542369009,Sample 6,-0.387713360996407,-0.548608568495733
OTU10,HB.053.M1.S1.C,367,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,201.974172162459,Sample 6,-0.354280183843758,-0.481110425862983
OTU101,HB.053.M1.S1.C,3385,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,1862.89529365102,Sample 6,-0.401950158049595,-0.268670110161228
OTU102,HB.053.M1.S1.C,18,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,9.90609018780454,Sample 6,-0.32826311544833,-0.488672427097719
OTU11,HB.053.M1.S1.C,567,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,312.041840915843,Sample 6,-0.354627142251008,-0.467466458077318
OTU110,HB.053.M1.S1.C,792,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,435.8679682634,Sample 6,-0.42290299914833,-0.418765863992595
OTU112,HB.053.M1.S1.C,28,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,15.4094736254737,Sample 6,-0.383513957609984,-0.637919145061128
OTU114,HB.053.M1.S1.C,2430,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,1337.32217535361,Sample 6,-0.395888904066225,-0.296465125887673
OTU121,HB.053.M1.S1.C,580,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,319.196239384813,Sample 6,-0.390975586910947,-0.454915612027966
OTU124,HB.053.M1.S1.C,1663,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,915.212665684386,Sample 6,-0.413536093198971,-0.412142197063957
OTU125,HB.053.M1.S1.C,233,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,128.228834097692,Sample 6,-0.388690120982075,-0.495599331882499
OTU134,HB.053.M1.S1.C,17,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,9.35575184403762,Sample 6,-0.469236559492718,-0.568175764018652
OTU136,HB.053.M1.S1.C,224,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,123.27578900379,Sample 6,-0.363389044142219,-0.456103739953987
OTU14,HB.053.M1.S1.C,369,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,203.074848849993,Sample 6,-0.386138680009464,-0.702483658135602
OTU141,HB.053.M1.S1.C,2575,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,1417.12123519982,Sample 6,-0.389378411543705,-0.278600978320402
OTU143,HB.053.M1.S1.C,415,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,228.390412663271,Sample 6,-0.392313102133302,-0.425493815778703
OTU15,HB.053.M1.S1.C,177,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,97.4098868467447,Sample 6,-0.352717419650835,-0.542565354919329
OTU150,HB.053.M1.S1.C,4169,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,2294.36055516429,Sample 6,-0.383543398972877,-0.266483022483664
OTU157,HB.053.M1.S1.C,218,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,119.973758941188,Sample 6,-0.407470791162985,-0.489766155966483
OTU179,HB.053.M1.S1.C,1109,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,610.325223237513,Sample 6,-0.369772150407692,-0.312101304103687
OTU18,HB.053.M1.S1.C,145,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,79.7990598462033,Sample 6,-0.354495642025714,-0.472637639406569
OTU196,HB.053.M1.S1.C,748,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,411.653081137655,Sample 6,-0.394026080741741,-0.400482379803791
OTU201,HB.053.M1.S1.C,61,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,33.5706389697821,Sample 6,-0.408172183619995,-0.606984345838183
OTU203,HB.053.M1.S1.C,25,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,13.758458594173,Sample 6,-0.443236786141654,-0.467652220722718
OTU21,HB.053.M1.S1.C,82,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,45.1277441888874,Sample 6,-0.35374603525662,-0.502115554900219
OTU212,HB.053.M1.S1.C,462,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,254.256314820317,Sample 6,-0.389992899595202,-0.500298719340195
OTU22,HB.053.M1.S1.C,113,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,62.1882328456619,Sample 6,-0.354256371260495,-0.482046843922866
OTU25,HB.053.M1.S1.C,143,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,78.6983831586694,Sample 6,-0.353885124795282,-0.496645927575908
OTU254,HB.053.M1.S1.C,277,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,152.443721223437,Sample 6,-0.39283533810178,-0.447307745265664
