OTUID sampleName readNum mtagNum soup exp soupRep PCR lib pcrRep readSpike mtagSpike readNumSpikeCorr mtagNumSpikeCorr inputCOINum inputGDNA
HAP003 C2_tag36_tag36_4 108 98 C within-spp 2 tag36_tag36 4 1 13507.25 8229.08333333333 29.8959447704011 35.7864889771036 1372085.81 39
HAP003 C2_tag37_tag37_4 290 235 C within-spp 2 tag37_tag37 4 2 94891.1666666667 24582 11.4268802680966 28.7273208038402 1372085.81 39
HAP003 C2_tag38_tag38_4 64 58 C within-spp 2 tag38_tag38 4 3 12973 7707.41666666667 18.4456949048023 22.6132837418504 1372085.81 39
HAP003 C3_tag51_tag51_4 148 132 C within-spp 3 tag51_tag51 4 1 18703.1666666667 10617.25 29.5870752724583 37.3599566742801 1372085.81 39
HAP003 C3_tag52_tag52_4 345 274 C within-spp 3 tag52_tag52 4 2 33934 14067.0833333333 38.0136441327282 58.5316785640236 1372085.81 39
HAP003 C3_tag53_tag53_4 110 106 C within-spp 3 tag53_tag53 4 3 12809.8333333333 7245.83333333333 32.1073654354077 43.9604370327775 1372085.81 39
HAP003 D1_tag54_tag54_4 292 267 D within-spp 1 tag54_tag54 4 1 43969.8333333333 15788.75 24.8303875005212 50.8168791069591 1097668.648 31.2
HAP003 D1_tag55_tag55_4 89 84 D within-spp 1 tag55_tag55 4 2 20732.5833333333 9532.58333333333 16.0506288410754 26.4797055712425 1097668.648 31.2
HAP003 D1_tag56_tag56_4 259 235 D within-spp 1 tag56_tag56 4 3 42170.9166666667 15970.3333333333 22.9637170957077 44.2179249024232 1097668.648 31.2
HAP003 D2_tag61_tag61_4 233 196 D within-spp 2 tag61_tag61 4 1 61743.0833333333 19059.3333333333 14.1098719559681 30.9024449963273 1097668.648 31.2
HAP003 D2_tag62_tag62_4 246 222 D within-spp 2 tag62_tag62 4 2 90701 22888.75 10.1409466268288 29.1457593796079 1097668.648 31.2
HAP003 D2_tag63_tag63_4 502 388 D within-spp 2 tag63_tag63 4 3 133652.333333333 33851.75 14.0437353631437 34.4425325130902 1097668.648 31.2
HAP003 D3_tag01_tag01_5 107 94 D within-spp 3 tag01_tag01 5 1 41403.0833333333 20631.75 9.66287937492578 13.6910344493317 1097668.648 31.2
HAP003 D3_tag02_tag02_5 149 134 D within-spp 3 tag02_tag02 5 2 33380.75 18693.1666666667 16.6895890595628 21.5410265783397 1097668.648 31.2
HAP003 D3_tag03_tag03_5 272 233 D within-spp 3 tag03_tag03 5 3 51767 24337.0833333333 19.6458747850948 28.7694704583198 1097668.648 31.2
HAP003 E1_tag04_tag04_5 95 90 E within-spp 1 tag04_tag04 5 1 18882.0833333333 9474.66666666667 18.8117483505086 28.5445398254996 879542.1856 25
HAP003 E1_tag05_tag05_5 288 252 E within-spp 1 tag05_tag05 5 2 106577.083333333 27111.25 10.1037856011885 27.9315782193739 879542.1856 25
HAP003 E1_tag06_tag06_5 139 135 E within-spp 1 tag06_tag06 5 3 23044 12535.5 22.5534195452178 32.3620916596865 879542.1856 25
HAP003 E2_tag07_tag07_5 104 95 E within-spp 2 tag07_tag07 5 1 53469.3333333333 26345.5 7.27250511196449 10.8358163633258 879542.1856 25
HAP003 E2_tag08_tag08_5 235 186 E within-spp 2 tag08_tag08 5 2 85651.75 36773.5833333333 10.2585761528515 15.1992258935876 879542.1856 25
HAP003 E2_tag09_tag09_5 234 185 E within-spp 2 tag09_tag09 5 3 71253.6666666667 27239.4166666667 12.2790312545319 20.4088438017212 879542.1856 25
HAP003 E3_tag10_tag10_5 134 109 E within-spp 3 tag10_tag10 5 1 95299.0833333333 33571.1666666667 5.25740628844804 9.75673569084582 879542.1856 25
HAP003 E3_tag11_tag11_5 215 193 E within-spp 3 tag11_tag11 5 2 55053.8333333333 24044.5 14.6017988453726 24.1204849341845 879542.1856 25
HAP003 E3_tag12_tag12_5 216 198 E within-spp 3 tag12_tag12 5 3 87549.75 28992.5833333333 9.2247436457557 20.5221450313442 879542.1856 25
HAP003 F1_tag26_tag26_5 98 88 F within-spp 1 tag26_tag26 5 1 41197.9166666667 16100.1666666667 8.89418761061947 16.4246746928086 703633.7485 20
HAP003 F1_tag27_tag27_5 37 35 F within-spp 1 tag27_tag27 5 2 23306.9166666667 10469.8333333333 5.93570578118799 10.0455276269918 703633.7485 20
